"TypeNamespacePrefix","TypeName","QualifiedType","FacetName","FacetValue","Definition"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","SPL","Special Court Martial"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","SSP","State Supreme Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","SUM","Summary Court Martial"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","SUP","Superior Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","TJC","Trial Justice Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","TRA","Traffic Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","TRI","Tribal Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","TWN","Town Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","UNK","Unknown"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","USC","U.S. Commissioner"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","USM","U.S. Magistrate Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","USS","U.S. Supreme Court"
"aamva_d20","DecalPeriodCodeSimpleType","aamva_d20:DecalPeriodCodeSimpleType","enumeration","2","2 Years"
"aamva_d20","DecalPeriodCodeSimpleType","aamva_d20:DecalPeriodCodeSimpleType","enumeration","F","Full Year Decal"
"aamva_d20","DecalPeriodCodeSimpleType","aamva_d20:DecalPeriodCodeSimpleType","enumeration","I","Infinite"
"aamva_d20","DecalPeriodCodeSimpleType","aamva_d20:DecalPeriodCodeSimpleType","enumeration","P","Partial Year Decal"
"aamva_d20","DecalPeriodCodeSimpleType","aamva_d20:DecalPeriodCodeSimpleType","enumeration","R","Prorated Decal"
"aamva_d20","DHSDriverLicenseIssuingCountryCodeSimpleType","aamva_d20:DHSDriverLicenseIssuingCountryCodeSimpleType","enumeration","CAN","Canada"
"aamva_d20","DHSDriverLicenseIssuingCountryCodeSimpleType","aamva_d20:DHSDriverLicenseIssuingCountryCodeSimpleType","enumeration","USA","U.S.A."
"aamva_d20","DriverLicenseClassCodeSimpleType","aamva_d20:DriverLicenseClassCodeSimpleType","enumeration","A","Class ""A"" vehicles - any combination of vehicles with a GCWR of 26,001 or more pounds, provided the GVWR of the vehicle(s) being towed is in excess of 10,000 pounds [49 CFR 383.91(a)(1)]. (Holders of a Class A license may, with the appropriate endorsement, operate all Class B & C vehicles)."
"aamva_d20","DriverLicenseClassCodeSimpleType","aamva_d20:DriverLicenseClassCodeSimpleType","enumeration","B","Class ""B"" vehicles - any single vehicle with a GVWR of 26,001 or more pounds, or any such vehicle towing a vehicle not in excess of 10,000 pounds GVWR [49 CFR 383.91(a)(2)]. (Holders of a Class B license may, with the appropriate endorsement, operate all Class C vehicles)."
"aamva_d20","DriverLicenseClassCodeSimpleType","aamva_d20:DriverLicenseClassCodeSimpleType","enumeration","C","Class ""C"" vehicles - any single vehicle, or combination of vehicles, that meets neither the definition of Group A nor that of Group B, but that either is designed to transport 16 or more passengers including the driver, or is used in the transportation of materials found to be hazardous for the purposes of the Hazardous Materials Transportation Act and which require the motor vehicle to be placarded under the Hazardous Materials Regulations (49 CFR part 172, subpart F) [49 CFR 383.91(a)(3)]."
"aamva_d20","DriverLicenseClassCodeSimpleType","aamva_d20:DriverLicenseClassCodeSimpleType","enumeration","M","Class ""M"" vehicles - Motorcycles, Mopeds, Motor-driven Cycles. (class M is being retired as a Commercial Class)"
"aamva_d20","DriverLicenseHMEThreatCodeSimpleType","aamva_d20:DriverLicenseHMEThreatCodeSimpleType","enumeration","0","No security threat - Issue/renew/transfer HME"
"aamva_d20","DriverLicenseHMEThreatCodeSimpleType","aamva_d20:DriverLicenseHMEThreatCodeSimpleType","enumeration","1","Determination of security threat - Do not issue/renew/transfer HME"
"aamva_d20","DriverLicenseHMEThreatCodeSimpleType","aamva_d20:DriverLicenseHMEThreatCodeSimpleType","enumeration","2","Determination of security threat - Immediately revoke HME"
"aamva_d20","DriverLicenseMedicalCertificationRestrictionCodeSimpleType","aamva_d20:DriverLicenseMedicalCertificationRestrictionCodeSimpleType","enumeration","1","Wearing corrective lenses"
